Comuna,Pacto,Partido,Tendencia,Independientes,Candidato,n_votos,perc_votos_comuna
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,ALVARO  GREZ MARTINEZ,1,6.36943E-05
CAUQUENES,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,COCA APABLAZA APABLAZA,7,0.00044586
CAUQUENES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,ABDON MATIAS FUENTEALBA RETAMAL,5,0.000318471
CAUQUENES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,DANIEL BUSTOS LEAL,1,6.36943E-05
CAUQUENES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,JUAN ANDRES MUÑOZ SAAVEDRA,72,0.004585987
CAUQUENES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,GINEZ MUÑOZ ECHEVERRIA,7,0.00044586
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JOSE ANIBAL PEREZ MEZA,8,0.000509554
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,MARIA DEL CARMEN PEREZ DONOSO,37,0.002356688
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,GUILLERMO  GARCIA GONZALEZ,20,0.001273885
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,ALVARO  GREZ MARTINEZ,0,0
CAUQUENES,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,COCA APABLAZA APABLAZA,3,0.000191083
CAUQUENES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,ABDON MATIAS FUENTEALBA RETAMAL,0,0
CAUQUENES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,DANIEL BUSTOS LEAL,0,0
CAUQUENES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,JUAN ANDRES MUÑOZ SAAVEDRA,48,0.003057325
CAUQUENES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,GINEZ MUÑOZ ECHEVERRIA,4,0.000254777
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JOSE ANIBAL PEREZ MEZA,7,0.00044586
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,MARIA DEL CARMEN PEREZ DONOSO,18,0.001146497
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,GUILLERMO  GARCIA GONZALEZ,41,0.002611465
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,ALVARO  GREZ MARTINEZ,3,0.000191083
CAUQUENES,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,COCA APABLAZA APABLAZA,4,0.000254777
CAUQUENES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,ABDON MATIAS FUENTEALBA RETAMAL,2,0.000127389
CAUQUENES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,DANIEL BUSTOS LEAL,1,6.36943E-05
CAUQUENES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,JUAN ANDRES MUÑOZ SAAVEDRA,68,0.00433121
CAUQUENES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,GINEZ MUÑOZ ECHEVERRIA,1,6.36943E-05
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JOSE ANIBAL PEREZ MEZA,4,0.000254777
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,MARIA DEL CARMEN PEREZ DONOSO,41,0.002611465
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,GUILLERMO  GARCIA GONZALEZ,29,0.001847134
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,ALVARO  GREZ MARTINEZ,1,6.36943E-05
CAUQUENES,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,COCA APABLAZA APABLAZA,5,0.000318471
CAUQUENES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,ABDON MATIAS FUENTEALBA RETAMAL,1,6.36943E-05
CAUQUENES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,DANIEL BUSTOS LEAL,2,0.000127389
CAUQUENES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,JUAN ANDRES MUÑOZ SAAVEDRA,36,0.002292994
CAUQUENES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,GINEZ MUÑOZ ECHEVERRIA,1,6.36943E-05
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JOSE ANIBAL PEREZ MEZA,5,0.000318471
